topicNumber,topicName,parentTopicNumber
"01","Statutory Authorities","00"
"02","List of Legislations","00"
"03","Audit","00"
"03.01","Name of Relevant Legislation","03"
"03.02","Employer Audits","03"
"03.02.01","Legislative Requirement","03.02"
"03.03","Outsourcing Service Provider","03"
"03.03.01","Legislative Requirement","03.03"
"04","Privacy Requirements","00"
"04.01","Name of Relevant Legislation","04"
"04.02","Key Principles in Relation to Handling Employee Data, Including HCM and Related Information","04"
"04.03","HCM System","04"
"04.03.01","Privacy Requirement in HCM System","04.03"
"04.03.02","Employee Self-Service","04.03"
"04.03.03","Pay Slip","04.03"
"04.04","Outsourcing Service Provider","04"
"04.05","Call Centre","04"
"04.06","Privacy & Data Protection Laws","04"
"04.06.01","Data Transfer Agreements","04.06"
"04.06.02","Privacy Impact Assessments","04.06"
"05","Storage/Retention of Data (HR, Payroll, Talent and TLM)","00"
"05.01","Name of Relevant Legislation","05"
"05.02","Employment Information","05"
"05.03","Records to Be Stored","05"
"05.03.01","Data to Be Stored","05.03"
"05.03.02","Retention Period","05.03"
"05.03.03","Manner of Storage","05.03"
"05.03.04","Location of Storage","05.03"
"05.03.05","HCM Data","05.03"
"05.03.06","Segregating Payroll Data for Staff Transfer Purpose","05.03"
"05.03.07","Segregating HCM Data, Other Than Payroll Data, for Staff Transfer Purpose","05.03"
"06","Record Keeping Requirements","00"
"06.01","Name of Relevant Legislation","06"
"06.02","Historic Data Uploading to System When Implementing New Client","06"
"06.03","Historic Data Uploading to System When There is valueA New Employee","06"
"06.04","Data Upload for Lodgement Purpose","06"
"06.05","Personal Information to Be Stored","06"
"06.06","Family Information to Be Stored","06"
"06.07","Previous Employment Information to Be Stored","06"
"07","Company Registration Requirements","00"
"07.01","Name of Relevant Legislation","07"
"07.02","Company Registration as valueA Legal Entity in Country","07"
"07.03","Company Registration in Relation to HR","07"
"07.04","Company Registration in Relation to Payroll for Tax Purpose","07"
"07.05","Company Registration in Relation to Payroll for Statutory Benefits Purpose","07"
"07.06","Lodgement","07"
"08","Recruitment and Selection","00"
"08.01","Name of Relevant Legislation","08"
"08.02","Creation of valueA New Job","08"
"08.02.01","Statutory Requirement","08.02"
"08.02.02","Staff-Requisition Form","08.02"
"08.03","Job Description","08"
"08.03.01","Statutory Requirement","08.03"
"08.04","Sourcing of Candidates","08"
"08.05","Legal Workers","08"
"08.05.01","Workers Who Can Legally Work in valueA Country","08.05"
"08.05.02","Age","08.05"
"08.05.03","Gender","08.05"
"08.05.04","Ethnic Group","08.05"
"08.05.05","Marital Status","08.05"
"08.05.06","Disabled","08.05"
"08.05.07","Industry","08.05"
"08.05.08","National or Regional/Provincial","08.05"
"08.06","Illegal Workers","08"
"08.06.01","Workers Who Work in valueA Country Illegally","08.06"
"08.06.02","Consequences of Hiring Illegal Workers","08.06"
"08.07","Selection of Candidates","08"
"08.07.01","Short-List of Candidates","08.07"
"08.07.02","Interview","08.07"
"08.07.03","Tests","08.07"
"08.07.04","Storage of Interview / Test Result","08.07"
"08.07.05","Background Checks","08.07"
"08.08","Hiring valueA Successful Candidate","08"
"09","Compensation and Benefits","00"
"09.01","Name of Relevant Legislation","09"
"09.02","Job Evaluation","09"
"09.03","Labour Law Coverage","09"
"09.04","Employment Contract - Terms and Conditions","09"
"09.04.01","Standard Terms and Conditions","09.04"
"09.04.02","Wages","09.04"
"09.04.03","Pay Frequencies and Pay Dates","09.04"
"09.04.04","Daily Rate","09.04"
"09.04.05","Hourly Rate","09.04"
"09.04.06","Piece Rate","09.04"
"09.04.07","Yearly Salary Indexation / Annual Increment","09.04"
"09.04.08","Standard (Ordinary) Hours","09.04"
"09.04.09","Overtime Hours","09.04"
"09.04.10","Shift Work Hours","09.04"
"09.04.11","Probation or Qualifying Period","09.04"
"09.04.12","Gender Pay Equity","09.04"
"09.05","Compensation","09"
"09.05.01","Base Salary","09.05"
"09.05.02","Housing Allowance","09.05"
"09.05.03","Meal Allowance","09.05"
"09.05.04","Shift Allowance","09.05"
"09.05.05","Relocation Allowance","09.05"
"09.05.06","Cost of Living Allowance","09.05"
"09.05.07","Special Allowance","09.05"
"09.05.08","Representation Allowance","09.05"
"09.05.09","Overtime Wages","09.05"
"09.05.10","Performance Bonus","09.05"
"09.05.11","Guarantee Bonus","09.05"
"09.05.12","Commission Bonus","09.05"
"09.05.13","Annual Bonus","09.05"
"09.05.14","Referral Bonus","09.05"
"09.05.15","Holiday Pay (Special Bonus)","09.05"
"09.05.16","Travel Allowance","09.05"
"09.05.17","Transportation Allowance","09.05"
"09.05.18","Per Diem","09.05"
"09.05.19","Tax Paid by Employer","09.05"
"09.05.20","Country Specific Payments","09.05"
